Name,Height,Weight,Reach,Stance,Birthday,Nickname
Ben Earwood,5' 8",170 lbs.,--,Orthodox,--,,
Cody East,6' 3",245 lbs.,74",Orthodox,Jun 29  1988,The Freight Train,
Marvin Eastman,5' 9",185 lbs.,73",Orthodox,Jun 08  1971,The Beastman,
Mike Easton,5' 6",135 lbs.,70",Southpaw,Jan 25  1984,The Hulk,
Maurice Eazel,5' 7",135 lbs.,--,,--,,
Vincent Eazelle,5' 11",155 lbs.,--,,Dec 07  1980,The Real Deal,
Ross Ebanez,5' 9",154 lbs.,--,Southpaw,May 18  1975,The Boss,
Brian Ebersole,6' 0",170 lbs.,73",Southpaw,Nov 27  1980,Bad Boy,
Mark Eddiva,5' 8",145 lbs.,68",Orthodox,Feb 16  1986,,
Frankie Edgar,5' 6",145 lbs.,68",Orthodox,Oct 16  1981,The Answer,
Abdul-Kerim Edilov,6' 2",205 lbs.,78",Orthodox,Nov 25  1991,,
Johnny Eduardo,5' 7",135 lbs.,71",Orthodox,Aug 03  1978,,
Yves Edwards,5' 9",155 lbs.,73",Southpaw,Sep 30  1976,,
Justin Edwards,5' 10",155 lbs.,70",Orthodox,Jan 26  1983,Fast Eddy,
Leon Edwards,6' 2",170 lbs.,74",Southpaw,Aug 25  1991,Rocky,
Te Edwards,5' 8",155 lbs.,72",Orthodox,Sep 11  1990,Tango,
Adli Edwards,--,145 lbs.,--,,Aug 28  1989,Sunshine,
Tom Egan,5' 11",170 lbs.,--,Orthodox,--,,
Justin Eilers,6' 1",235 lbs.,--,Orthodox,Jun 28  1978,The Hammer,
Jon Olav Einemo,6' 6",253 lbs.,--,Orthodox,Dec 10  1975,The Viking,
Per Eklund,5' 10",155 lbs.,72",Orthodox,--,,
John Elam,--,--,--,,--,,
John Paul Elias,6' 4",205 lbs.,--,,--,,
Saul Elizondo,5' 7",135 lbs.,--,,Jul 17  1985,,
Darren Elkins,5' 10",145 lbs.,71",Orthodox,May 16  1984,The Damage,
Jake Ellenberger,5' 9",170 lbs.,71",Orthodox,Mar 28  1985,The Juggernaut,
Joe Ellenberger,5' 9",155 lbs.,72",Orthodox,Mar 28  1985,Excalibur,
Tim Elliott,5' 7",125 lbs.,66",Southpaw,Dec 24  1986,,
Eddy Ellis,5' 9",170 lbs.,--,Orthodox,--,Fast,
Lisa Ellis,5' 4",115 lbs.,62",,Nov 15  1982,,
Anna Elmose,5' 3",115 lbs.,65",Orthodox,Oct 06  1984,Panda,
Aaron Ely,5' 8",135 lbs.,--,,Mar 18  1989,The Cyborg,
Ramazan Emeev,5' 10",170 lbs.,76",Southpaw,May 23  1987,Gorets,
Aleksander Emelianenko,6' 6",255 lbs.,--,Orthodox,Aug 02  1981,,
Fedor Emelianenko,6' 0",230 lbs.,74",Orthodox,Sep 28  1976,The Last Emperor,
Rob Emerson,5' 9",155 lbs.,70",Orthodox,Jul 30  1981,The Saint,
Jamall Emmers,5' 10",145 lbs.,74",Orthodox,Jul 24  1989,Pretty Boy,
Josh Emmett,5' 6",145 lbs.,70",Orthodox,Mar 04  1985,,
Marius Enache,5' 11",155 lbs.,--,,Oct 16  1975,,
Kevin Engel,6' 2",170 lbs.,--,,--,The Hitman,
Oliver Enkamp,6' 0",170 lbs.,77",Switch,Aug 10  1991,The Future,
Alex Enlund,5' 10",145 lbs.,73",Orthodox,May 27  1987,,
Kenny Ento,6' 2",192 lbs.,--,,--,Tha' Dragon,
Ian Entwistle,5' 5",135 lbs.,64",Orthodox,Nov 19  1986,Enty,
Andy Enz,6' 3",185 lbs.,78",Orthodox,Aug 15  1991,Lionheart,
Won Jin Eoh,5' 7",160 lbs.,--,Orthodox,--,,
Josh Epps,--,130 lbs.,--,,Aug 23  1986,,
Tom Erikson,6' 3",280 lbs.,--,Orthodox,--,The Big Cat,
Konstantin Erokhin,5' 11",230 lbs.,73",Orthodox,Jan 31  1983,The Russian Bear,
Julian Erosa,6' 1",145 lbs.,74",Southpaw,Jul 31  1989,Juicy J,
Nick Ertl,5' 9",155 lbs.,--,,--,,
Chel Erwin-Davis,6' 0",170 lbs.,--,,--,The First Sun,
Bobby Escalante,--,130 lbs.,--,,--,,
Eric Esch,5' 11",350 lbs.,--,Orthodox,Aug 03  1968,Butterbean,
Pro Escobedo,--,205 lbs.,--,,--,,
Cole Escovedo,5' 7",135 lbs.,72",Orthodox,Aug 30  1981,Apache Kid,
Efrain Escudero,5' 9",155 lbs.,70",Orthodox,Jan 15  1986,Hecho En Mexico,
Evan Esguerra,--,145 lbs.,--,,--,,
Carla Esparza,5' 1",115 lbs.,63",Orthodox,Oct 10  1987,Cookie Monster,
Juan Espino,6' 4",250 lbs.,82",,Oct 09  1980,El Guapo,
Jordan Espinosa,5' 6",125 lbs.,69",Orthodox,Nov 08  1989,,
Jodie Esquibel,5' 1",115 lbs.,64",Orthodox,May 07  1986,,
Terry Etim,6' 1",155 lbs.,73",Orthodox,Jan 11  1986,,
Fred Ettish,6' 0",180 lbs.,--,Southpaw,--,,
Scott Ettling,--,135 lbs.,--,,--,,
Sijara Eubanks,5' 4",135 lbs.,67",Orthodox,Apr 27  1985,Sarj,
Billy Evangelista,5' 8",155 lbs.,68",Orthodox,Oct 07  1980,,
Rashad Evans,6' 0",205 lbs.,75",Orthodox,Sep 25  1979,Suga,
Doug Evans,5' 9",155 lbs.,--,Orthodox,Oct 10  1980,,
Ashlee Evans-Smith,5' 8",125 lbs.,67",Orthodox,Jul 09  1987,Rebel Girl,
Dan Evensen,6' 3",250 lbs.,--,Orthodox,Jun 01  1974,The Viking,
Tonya Evinger,5' 7",135 lbs.,70",Orthodox,Jun 04  1981,Triple Threat,
Movsar Evloev,5' 7",145 lbs.,72",Orthodox,Feb 11  1994,,
Andre Ewell,5' 8",135 lbs.,75",Southpaw,Jan 21  1988,Mr. Highlight,
Neal Ewing,--,185 lbs.,--,,Sep 30  1985,,
Jessica Eye,5' 6",125 lbs.,66",Orthodox,Jul 27  1986,Evil,
Edward Faaloloto,--,155 lbs.,70",,Jul 15  1984,,
Urijah Faber,5' 6",135 lbs.,67",Orthodox,May 14  1979,The California Kid,
Melinda Fabian,5' 6",125 lbs.,66",,Jun 25  1987,,
Wagnney Fabiano,5' 6",145 lbs.,69",Southpaw,Jul 14  1975,The Silencer,
Bartosz Fabinski,6' 0",170 lbs.,75",Orthodox,Apr 26  1986,The Butcher,
Ron Faircloth,5' 9",205 lbs.,--,Orthodox,Aug 16  1979,,
Jason Fairn,6' 1",230 lbs.,--,,--,,
Zarah Fairn,5' 8",145 lbs.,72",Orthodox,Dec 12  1986,Infinite,
Maiquel Falcao,5' 11",185 lbs.,--,Orthodox,Mar 08  1981,Big Rig,
Brodie Farber,6' 1",170 lbs.,--,Orthodox,Jul 05  1980,,
Joao Paulo Faria,5' 9",155 lbs.,--,,--,,
Kalindra Faria,5' 7",125 lbs.,--,Switch,Jul 23  1986,,
Chance Farrar,5' 9",145 lbs.,--,Southpaw,Sep 11  1975,,
Rico Farrington,6' 4",170 lbs.,79",Southpaw,Jun 19  1989,The Triggerman,
Kelly Faszholz,5' 8",135 lbs.,67",Orthodox,Apr 09  1985,,
Rodney Faverus,6' 0",215 lbs.,--,Southpaw,--,,
Paul Felder,5' 11",155 lbs.,70",Orthodox,Apr 25  1984,The Irish Dragon,
Carlos Felipe,6' 0",245 lbs.,--,,Jan 12  1995,Boi,
JP Felty,--,170 lbs.,--,,Apr 28  1979,,
Kevin Ferguson,6' 2",235 lbs.,--,Orthodox,Feb 08  1974,Kimbo Slice,
Rhadi Ferguson,5' 7",205 lbs.,--,,--,,
Tony Ferguson,5' 11",155 lbs.,76",Orthodox,Feb 12  1984,El Cucuy,
Josh Ferguson,5' 5",125 lbs.,66",Orthodox,May 13  1988,Taz,
CJ Fernandes,6' 2",170 lbs.,--,,Nov 13  1977,,
Bibiano Fernandes,5' 7",139 lbs.,--,Orthodox,Mar 30  1980,,
Alexandre Ferreira,5' 7",205 lbs.,--,Orthodox,Apr 25  1979,Cacareco,
Cezar Ferreira,6' 1",185 lbs.,78",Southpaw,Feb 15  1985,Mutante,
Diego Ferreira,5' 9",155 lbs.,74",Orthodox,Jan 18  1985,,
Scott Ferrozzo,5' 11",323 lbs.,--,Orthodox,Apr 26  1965,The Pitbull,
Drew Fickett,5' 10",155 lbs.,70",Orthodox,Dec 14  1979,The Master,
Scott Fiedler,6' 4",235 lbs.,--,Orthodox,--,,
Ron Fields,6' 2",200 lbs.,--,Orthodox,Nov 18  1974,Killing,
Deiveson Figueiredo,5' 5",125 lbs.,68",Orthodox,Dec 18  1987,Deus da Guerra,
Anthony Figueroa,5' 4",135 lbs.,--,Orthodox,--,,
Edwin Figueroa,5' 7",135 lbs.,69",Orthodox,Jul 31  1984,El Feroz,
Paulo Filho,5' 8",185 lbs.,--,Southpaw,May 24  1978,,
Andre Fili,5' 11",145 lbs.,74",Orthodox,Jun 25  1990,Touchy,
Mirko Cro Cop,6' 2",230 lbs.,73",Southpaw,Sep 10  1974,Cro Cop,
Brady Fink,6' 0",183 lbs.,--,Orthodox,--,,
Jesse Finney,6' 0",170 lbs.,--,,Jul 11  1974,,
Jan Finney,5' 8",135 lbs.,--,Orthodox,--,Cuddles,
Luigi Fioravanti,5' 8",170 lbs.,70",Orthodox,Jan 22  1981,,
Luiz Firmino,5' 6",154 lbs.,--,Orthodox,Mar 18  1982,Buscape,
Spencer Fisher,5' 7",155 lbs.,70",Southpaw,May 09  1976,The King,
Chris Fishgold,5' 8",145 lbs.,68",Orthodox,Jun 06  1992,,
Bryanna Fissori,5' 4",145 lbs.,--,,--,,
Jon Fitch,6' 0",170 lbs.,76",Orthodox,Feb 24  1978,,
Rafael Fiziev,5' 8",155 lbs.,71",Switch,Mar 05  1993,Ataman,
Colin Fletcher,6' 2",155 lbs.,78",Orthodox,Jan 08  1983,The Freakshow,
Luke Flores,6' 0",155 lbs.,--,Southpaw,Mar 17  1988,Luke,
Kenny Florian,5' 10",145 lbs.,74",Southpaw,May 26  1976,KenFlo,
Cody Floyd,--,--,--,,Jul 18  1988,,
Bobby Flynn,--,170 lbs.,--,,--,,
Caros Fodor,5' 9",155 lbs.,76",Orthodox,Jan 07  1984,The Future,
Mal Foki,5' 7",220 lbs.,--,Orthodox,--,Twin Tiger,
Matt Foki,5' 7",220 lbs.,--,Orthodox,--,Twin Tiger,
AJ Fonseca,5' 4",145 lbs.,--,,--,,
Rob Font,5' 8",135 lbs.,71",Orthodox,Jun 25  1987,,
Claudionor Fontinelle,5' 5",185 lbs.,--,Orthodox,--,,
Jesse Forbes,6' 2",185 lbs.,75",Southpaw,Oct 24  1984,Kid Hercules,
Sterling Ford,5' 10",155 lbs.,--,,Mar 12  1986,,
Codale Ford,5' 9",170 lbs.,--,,May 13  1979,Crunch Time,
Renee Forte,5' 7",155 lbs.,71",Orthodox,Mar 27  1987,,
Marcel Fortuna,6' 1",205 lbs.,74",Orthodox,Oct 22  1985,Maozinha,
Brian Foster,5' 9",170 lbs.,71",Orthodox,Apr 03  1984,The Foster Boy,
Xavier Foupa-Pokam,6' 1",185 lbs.,--,Open Stance,Jul 03  1982,Professor X,
Mason Fowler,5' 11",170 lbs.,--,,--,,
Brandon Foxworth,5' 11",145 lbs.,--,Orthodox,Apr 28  1979,,
Hermes Franca,5' 6",155 lbs.,71",Orthodox,Aug 26  1974,,
Glaico Franca,6' 0",155 lbs.,77",Orthodox,Feb 28  1991,Nego,
Francisco France,6' 0",205 lbs.,--,,Jan 21  1983,Kiko,
John Franchi,5' 6",145 lbs.,67",Orthodox,Jul 16  1982,,
Rich Franklin,6' 1",185 lbs.,75",Southpaw,Oct 05  1974,Ace,
Zoila Frausto,5' 4",135 lbs.,--,Orthodox,--,Warrior Princess,
Zane Frazier,6' 5",250 lbs.,--,Orthodox,--,Nasty,
Gary Frazier,6' 0",245 lbs.,--,Orthodox,--,,
Justin Frazier,6' 0",265 lbs.,75",Southpaw,Jun 15  1989,The Grizzly Bear,
Ian Freeman,5' 11",225 lbs.,--,Orthodox,Nov 10  1966,The Machine,
Jason Freeman,6' 2",225 lbs.,--,,Sep 02  1976,,
Willamy Freire,5' 8",155 lbs.,--,,Jul 28  1987,Chiquerim,
Patricio Freire,5' 5",145 lbs.,--,,Jul 07  1987,Pitbull,
Patricky Freire,5' 7",155 lbs.,--,,Jun 01  1986,Pitbull,
Jeremy  Freitag,6' 1",205 lbs.,--,,--,,
Rafael Freitas,--,205 lbs.,--,Orthodox,--,Capoeira,
Donavon Frelow,5' 7",135 lbs.,--,Orthodox,Jan 20  1985,,
Clay French,5' 7",161 lbs.,--,Southpaw,Oct 07  1980,,
Mike French,5' 10",145 lbs.,--,,May 29  1975,,
Matt Frevola,5' 9",155 lbs.,71",Orthodox,Jun 11  1990,The SteamRolla,
Artem Frolov,5' 10",185 lbs.,--,,Sep 07  1991,,
Sarah Frota,5' 6",125 lbs.,69",Southpaw,Apr 14  1987,A Treta,
Don Frye,6' 1",219 lbs.,--,Orthodox,Nov 23  1965,The Predator,
Tony Fryklund,6' 0",185 lbs.,--,Orthodox,Mar 26  1971,The Freak,
Jesse Fujarczyk,6' 4",225 lbs.,--,Southpaw,Jan 28  1983,The Ronin,
Katsuhisa Fujii,6' 0",205 lbs.,--,Orthodox,Aug 15  1972,Shamoji,
Megumi Fujii,5' 3",113 lbs.,--,,Apr 26  1974,Mega Megu,
Kazuyuki Fujita,6' 0",235 lbs.,--,Orthodox,Oct 16  1970,Ironhead,
Keisuke Fujiwara,5' 6",139 lbs.,--,Switch,--,,
Riki Fukuda,6' 0",185 lbs.,73",Southpaw,Jan 06  1981,,
Masio Fullen,5' 10",145 lbs.,70",Orthodox,Oct 06  1986,Lobo,
Travis Fulton,6' 0",240 lbs.,--,Orthodox,May 29  1977,The Ironman,
Sam Fulton,--,--,--,,--,,
Masakatsu Funaki,6' 0",185 lbs.,--,Southpaw,Mar 13  1969,,
Ricardo Funch,5' 10",170 lbs.,76",Southpaw,Aug 14  1980,Golden Boy,
Katsuaki Furuki,6' 0",168 lbs.,--,,Nov 10  1980,,
James Gabert,--,178 lbs.,--,,--,,
Gustavo Gabriel,5' 6",125 lbs.,--,Orthodox,Apr 01  1994,,
Claudia Gadelha,5' 4",115 lbs.,63",Orthodox,Dec 07  1988,Claudinha,
Alavutdin Gadjiev,6' 2",185 lbs.,--,Orthodox,Jun 23  1982,,
Justin Gaethje,5' 11",155 lbs.,70",Orthodox,Nov 14  1988,The Highlight,
Sheila Gaff,5' 5",135 lbs.,62",Orthodox,Dec 29  1989,The German Tank,
Muin Gafurov,5' 7",135 lbs.,--,,May 17  1996,Tajik,
Mitch Gagnon,5' 5",135 lbs.,65",Southpaw,Oct 10  1984,,
Brandon Gaines,6' 3",185 lbs.,--,,--,,
Travis Galbraith,6' 0",170 lbs.,--,Orthodox,May 18  1981,The Gladiator,
Dave Galera,5' 11",135 lbs.,--,Orthodox,Jan 12  1978,Scarecrow,
Zelg Galesic,6' 2",185 lbs.,--,Orthodox,Feb 16  1979,Benkei,
Mickey Gall,6' 2",170 lbs.,74",Switch,Jan 22  1992,,
Daniel Gallemore,6' 5",265 lbs.,--,,--,Big Kansas,
Tom Gallicchio,5' 10",170 lbs.,73",Southpaw,Sep 23  1986,Da Tank,
Turrell Galloway,5' 3",145 lbs.,--,,--,,
Eric Galvan,--,155 lbs.,--,,--,,
Andre Galvao,5' 7",168 lbs.,--,Orthodox,Sep 29  1982,,
Marcos Galvao,5' 7",135 lbs.,--,Orthodox,Jun 23  1981,Louro,
Lucas Gamaza,--,170 lbs.,--,,--,,
Joey Gambino,5' 7",145 lbs.,--,Orthodox,Oct 26  1988,The Raging Warrior,
Manvel Gamburyan,5' 5",135 lbs.,67",Orthodox,May 08  1981,The Anvil,
Shamil Gamzatov,6' 2",205 lbs.,76",Orthodox,Aug 09  1990,,
Ariel Gandulla,5' 11",205 lbs.,--,Orthodox,May 07  1968,,
Ciryl Gane,6' 4",245 lbs.,81",Orthodox,Apr 12  1990,Bon Gamin,
Sean Gannon,6' 3",265 lbs.,--,Southpaw,--,The Cannon,
Eduardo Garagorri,5' 9",145 lbs.,70",Orthodox,May 28  1989,,
Cody Garbrandt,5' 8",135 lbs.,65",Orthodox,Jul 07  1991,No Love,
Leonard Garcia,5' 10",145 lbs.,69",Orthodox,Jul 14  1979,Bad Boy,
Edgar Garcia,5' 10",170 lbs.,71",Orthodox,Feb 22  1984,,
Alejandro Garcia,5' 7",145 lbs.,--,,--,Alex,
Alex Garcia,5' 9",170 lbs.,72",Orthodox,Jul 14  1987,The Dominican Nightmare,
Nick Garcia,5' 4",125 lbs.,--,,--,Nitro,
Steve Garcia,6' 0",155 lbs.,75",Southpaw,May 22  1992,Mean Machine,
Elias Garcia,5' 5",125 lbs.,67",Southpaw,Sep 13  1992,,
Rulon Gardner,6' 3",265 lbs.,--,Orthodox,Aug 16  1971,,
David Gardner,5' 11",155 lbs.,--,Orthodox,May 17  1977,,
Pablo Garza,6' 1",145 lbs.,73",Orthodox,Sep 16  1983,The Scarecrow,
Azamat Gashimov,5' 6",125 lbs.,66",Orthodox,Apr 07  1990,,
Brian Gassaway,6' 1",170 lbs.,--,Orthodox,Aug 07  1972,,
Kelvin Gastelum,5' 9",185 lbs.,71",Southpaw,Oct 24  1991,,
Willie Gates,5' 8",125 lbs.,70",Orthodox,Jan 21  1987,Whoop Ass,
Melissa Gatto,5' 5",135 lbs.,--,Orthodox,Feb 05  1996,,
Louis Gaudinot,5' 3",125 lbs.,63",Orthodox,Aug 28  1984,Goodnight,
Charlene Gellner,5' 2",125 lbs.,--,,--,Princess,
Chad George,5' 6",135 lbs.,68",Southpaw,Apr 30  1982,Savage,
Paul Georgieff,6' 2",170 lbs.,--,Orthodox,Sep 22  1982,,
Brian Geraghty,5' 7",155 lbs.,--,Orthodox,Nov 04  1980,Duke,
Derek Getzel,6' 0",155 lbs.,--,,--,The Pretzel,
Karine Gevorgyan,5' 4",125 lbs.,63",,Mar 09  1989,The Princess,
Darrel Gholar,5' 8",194 lbs.,--,Orthodox,--,,
Tiki Ghosn,5' 10",170 lbs.,--,Orthodox,Feb 09  1977,,
Christos Giagos,5' 10",155 lbs.,71",Orthodox,Jan 23  1990,The Spartan,
Joe Giannetti,6' 0",155 lbs.,74",Southpaw,Jul 05  1995,Skeletor,
Nick Gibbons,5' 10",155 lbs.,--,,--,,
James Giboo,5' 11",170 lbs.,--,Orthodox,Jan 06  1978,,
Lance Gibson,5' 9",185 lbs.,--,Orthodox,Nov 20  1970,Fearless,
Lee Gibson,5' 7",155 lbs.,--,,--,Lethal,
Cody Gibson,5' 10",135 lbs.,71",Orthodox,Sep 11  1987,The Renegade,
Kenny Giddens,5' 11",155 lbs.,--,,--,,
Thomas Gifford,6' 1",155 lbs.,75",Orthodox,Jul 26  1992,The Young Lion,
Joe Gigliotti,5' 11",185 lbs.,69",Orthodox,Aug 13  1993,Capo,
Joey Gilbert,5' 11",155 lbs.,--,Orthodox,Jun 05  1976,,
Trevin Giles,6' 0",185 lbs.,74",Orthodox,Aug 06  1992,,
Kultar Gill,6' 0",154 lbs.,--,Orthodox,Mar 24  1979,Black Mamba,
Jesse Gillespie,--,185 lbs.,--,,--,,
Gregor Gillespie,5' 7",155 lbs.,71",Orthodox,Nov 13  1986,The Gift,
Jason Gilliam,6' 0",170 lbs.,--,Orthodox,--,,
Krishaun Gilmore,--,--,--,,--,,
Alex Gilpin,5' 7",145 lbs.,72",Orthodox,Mar 26  1992,,
Bob Gilstrap,6' 3",200 lbs.,--,Orthodox,--,,
Demetrius Gioulacos,5' 11",185 lbs.,--,,--,,
Billy Giovanella,5' 8",125 lbs.,--,,Aug 20  1985,Wolverine,
He-Man Gipson,--,--,--,,--,,
Israel Giron,5' 8",155 lbs.,--,,Jan 16  1974,El Rojo,
Brandon Girtz,5' 7",155 lbs.,--,,Mar 06  1985,Cold Roll,
Jason Glaza,6' 0",230 lbs.,--,,--,,
Mike Glenn,--,205 lbs.,--,,Oct 09  1977,,
Rick Glenn,6' 0",145 lbs.,70",Southpaw,Apr 12  1989,The Gladiator,
Mark Godbeer,6' 4",240 lbs.,77",Orthodox,Nov 22  1983,The Hand Of,
Clint Godfrey,5' 6",135 lbs.,--,Southpaw,Oct 21  1982,,
Jason Godsey,6' 2",230 lbs.,--,Orthodox,--,,
Allan Goes,6' 0",205 lbs.,--,Orthodox,Apr 20  1971,,
Jonny Goh,5' 11",155 lbs.,--,,--,,
Hannah Goldy,5' 4",125 lbs.,61",Orthodox,May 18  1992,24K,
Marcelo Golm,6' 3",249 lbs.,75",Orthodox,Sep 15  1992,,
Sergio Gomez,5' 6",155 lbs.,--,Orthodox,Apr 29  1982,,
Frank Gomez,5' 10",135 lbs.,67",Orthodox,Mar 31  1986,,
Alan Gomez,--,155 lbs.,--,,--,,
David Gomez,--,155 lbs.,--,,Aug 08  1983,,
Ulysses Gomez,5' 6",125 lbs.,66",Orthodox,May 25  1983,Useless,
Joey Gomez,5' 10",155 lbs.,71",Orthodox,Aug 29  1989,,
Luis Gomez,5' 7",145 lbs.,68",Orthodox,Jan 28  1995,Tiger Junior,
Silvana Juarez,5' 3",125 lbs.,--,Orthodox,Jun 12  1984,La Malvada,
Takanori Gomi,5' 7",155 lbs.,70",Southpaw,Sep 22  1978,The Fireball Kid,
Akihiro Gono,5' 7",170 lbs.,68",Switch,Oct 07  1974,,
Gabriel Gonzaga,6' 2",242 lbs.,76",Orthodox,May 18  1979,Napao,
Justin Gonzales,5' 9",145 lbs.,72",Orthodox,Apr 28  1991,J-Train,
Fernando Gonzalez,5' 9",170 lbs.,68",Southpaw,Sep 15  1983,The Menifee Maniac,
Nick Gonzalez,5' 6",155 lbs.,--,Orthodox,Mar 03  1981,The Ghost,
Fabian Gonzalez,5' 10",135 lbs.,--,,--,,
Lewis Gonzalez,5' 10",170 lbs.,73",Orthodox,Sep 19  1987,Lethal,
Jason Gonzalez,6' 2",155 lbs.,74",Southpaw,Feb 28  1990,Nicoya,
Pearl Gonzalez,5' 4",115 lbs.,68",Orthodox,Aug 12  1986,,
Kier Gooch,--,155 lbs.,--,,Apr 21  1986,,
Lyman Good,6' 0",170 lbs.,74",Orthodox,May 26  1985,Cyborg,
Gary Goodridge,6' 3",249 lbs.,--,Orthodox,Jan 17  1966,Big Daddy,
Jordan Goodwin,--,155 lbs.,--,,--,,
Gerard Gordeau,6' 5",216 lbs.,--,Orthodox,Mar 30  1959,,
Eddie Gordon,6' 0",185 lbs.,76",Orthodox,Jul 22  1983,Truck,
Jared Gordon,5' 9",155 lbs.,68",Orthodox,Sep 06  1988,Flash,
Tebaris Gordon,6' 1",265 lbs.,78",Orthodox,Jul 19  1988,Boom,
Alex Gorgees,6' 2",155 lbs.,74",Switch,Aug 11  1995,Hitman,
Tim Gorman,5' 5",135 lbs.,68",Southpaw,Apr 29  1983,The Psycho,
Chase Gormley,6' 3",265 lbs.,--,Orthodox,--,,
Jonathan Goulet,6' 0",170 lbs.,73",Orthodox,Jul 13  1979,The Road Warrior,
Thibault Gouti,5' 10",155 lbs.,72",Orthodox,Feb 27  1987,GT,
Wilson Gouveia,6' 1",185 lbs.,76",Orthodox,Oct 03  1978,,
Todd Gouwenberg,6' 1",205 lbs.,--,Orthodox,Sep 25  1974,,
Hugo Govea,--,--,--,,--,,
Justin Governale,--,145 lbs.,--,,--,The Therapist,
Damian Grabowski,6' 1",241 lbs.,75",Orthodox,May 12  1980,The Polish Pitbull,
Royce Gracie,6' 1",175 lbs.,--,Southpaw,Dec 12  1966,,
Crosley Gracie,5' 9",190 lbs.,--,Orthodox,Jul 18  1979,,
Daniel Gracie,6' 2",225 lbs.,--,Orthodox,--,,
Ralph Gracie,5' 9",183 lbs.,--,Orthodox,--,,
Renzo Gracie,5' 10",185 lbs.,--,Orthodox,Mar 11  1967,,
Rickson Gracie,5' 10",185 lbs.,--,Switch,Nov 20  1958,,
Rodrigo Gracie,6' 0",183 lbs.,--,Orthodox,Apr 11  1975,,
Royler Gracie,5' 8",150 lbs.,--,Southpaw,Dec 06  1965,,
Ryan Gracie,5' 9",200 lbs.,--,Orthodox,Aug 14  1974,,
Ralek Gracie,6' 2",210 lbs.,--,Orthodox,Oct 04  1985,,
Rolles Gracie,6' 4",242 lbs.,--,Orthodox,Jul 14  1978,,
Cesar Gracie,5' 10",181 lbs.,--,Orthodox,--,,
Roger Gracie,6' 4",185 lbs.,79",Orthodox,Sep 26  1981,,
Igor Gracie,5' 11",170 lbs.,--,,Feb 04  1980,,
Neiman Gracie,6' 0",170 lbs.,--,,--,,
Kron Gracie,5' 9",145 lbs.,70",Southpaw,Jul 11  1988,,
Steven Graham,6' 1",290 lbs.,--,Orthodox,--,,
Scott Graham,6' 4",185 lbs.,--,Orthodox,--,,
Miranda Granger,5' 7",125 lbs.,68",Orthodox,Apr 13  1992,Danger,
TJ Grant,5' 10",155 lbs.,72",Orthodox,Feb 26  1984,,
Davey Grant,5' 8",135 lbs.,69",Orthodox,Dec 18  1985,Dangerous,
Dwight Grant,6' 1",170 lbs.,76",Switch,Sep 14  1984,The Body Snatcher,
Alexa Grasso,5' 5",115 lbs.,66",Orthodox,Aug 09  1993,,
Tony Gravely,5' 5",135 lbs.,69",Orthodox,Sep 28  1991,,
Michael Graves,5' 10",170 lbs.,71",Orthodox,Jan 08  1991,,
Shelton Graves,6' 2",255 lbs.,76",Southpaw,Oct 23  1985,The Gravedigger,
James Gray,5' 9",135 lbs.,--,Orthodox,Oct 25  1987,The Phenom,
Kevin Gray,5' 4",125 lbs.,67",Orthodox,May 03  1985,Pocket Herc,
Sam Greco,6' 2",205 lbs.,--,Orthodox,May 03  1967,,
Bobby Green,5' 10",155 lbs.,71",Orthodox,Sep 09  1986,King,
Desmond Green,5' 10",155 lbs.,73",Southpaw,Oct 11  1989,The Predator,
Gabe Green,5' 10",170 lbs.,73",Switch,May 02  1993,Gifted,
Maurice Greene,6' 7",258 lbs.,80",Orthodox,Jul 05  1986,The Crochet Boss,
Matt Grice,5' 8",145 lbs.,70",Orthodox,Jul 29  1981,The Real One,
Forrest Griffin,6' 3",205 lbs.,77",Orthodox,Mar 16  1979,,
Tyson Griffin,5' 6",145 lbs.,68",Orthodox,Apr 20  1984,,
Max Griffin,5' 11",170 lbs.,76",Orthodox,Nov 29  1985,Pain,
Jordan Griffin,5' 10",145 lbs.,73",Southpaw,Feb 28  1990,Native Psycho,
Chad Griggs,6' 1",205 lbs.,73",Orthodox,May 15  1978,The Grave Digger,
Chuck Grigsby,6' 6",205 lbs.,--,Orthodox,--,The Reverend,
Rodrigo Gripp de Sousa,5' 11",205 lbs.,--,Orthodox,--,Riscado,
Josh Grispi,5' 11",145 lbs.,74",Orthodox,Oct 14  1988,The Fluke,
Garrett Gross,5' 9",155 lbs.,69",Orthodox,Aug 08  1988,Glory to God,
Kendall Grove,6' 6",185 lbs.,79",Orthodox,Nov 12  1982,Da Spyder,
Neil Grove,6' 6",265 lbs.,--,Orthodox,Jan 18  1971,Goliath,
Chris Gruetzemacher,5' 8",155 lbs.,68",Orthodox,Jun 16  1986,Gritz,
Vik Grujic,5' 11",170 lbs.,73",Orthodox,Feb 06  1977,The Spartan,
Mike Grundy,5' 7",145 lbs.,72",Orthodox,Jan 03  1987,,
Wang Guan,5' 9",145 lbs.,71",Orthodox,Mar 14  1986,The Dongbei Tiger,
Nandor Guelmino,6' 3",230 lbs.,76",,Dec 20  1975,The Hun,
Fabricio Guerreiro,5' 10",145 lbs.,--,,Jul 24  1990,,
Shannon Gugerty,5' 10",155 lbs.,71",Orthodox,Dec 30  1981,,
Clay Guida,5' 7",155 lbs.,70",Orthodox,Dec 08  1981,The Carpenter,
Jason Guida,5' 10",214 lbs.,--,,Aug 04  1977,,
